Sample me,Location,Latitude,Longitude,Sampling time (Hrs),Temperature,COND,pH ,Turb NTU,CHLA RFU,CDOM RFU,TRPN RFU,TH ppm,TSS mg/L,COD mg/L,BOD mg/L,DO mg/L,NO3 ppm,NO2 ppm,NH4 ppm,Cl ppm,Na ppm,K ppm,Ca ppm,Mg ppm,TC cfu/100ml,FC cfu/100ml
GDVR_RJMN_20170419_st_01,RJMN,16.9536,81.7808,9:30,31.62,220,8.51,0.5,,,,44.2,1,16,2,5.2,3,0.01,0.2,28.36,7.15,1.46,15.6,7.9,,
GDVR_RJMN_20170419_st_02,RJMN,16.9691,81.774,9:45,31.33,175,9.52,0.4,,,,46.4,1,14,2,5.4,2.8,0.01,0.2,14.18,10.16,2.01,15.3,7.6,,
GDVR_RJMN_20170419_st_03,RJMN,17.0279,81.7679,10:30,32.17,210,8.55,0.2,,,,48.9,1,16,2,5.5,2.5,0.01,0.2,28.36,6.28,1.39,16,7.5,,
GDVR_RJMN_20170419_st_04,RJMN,17.0048,81.7662,11:00,32.29,157,8.28,0.1,,,,59.9,1,12,1,5.1,2,0.01,0.2,21.27,8.74,1.77,24,4.5,,
GDVR_RJMN_20170427_st_01,RJMN,16.967,81.777,8:30,32.52,157,8.51,0.1,,,,24,1,18,2.2,5.6,2.5,0.01,0.2,35.45,12.5,2.58,8.8,5.2,0.5,0.5
GDVR_RJMN_20170427_st_02,RJMN,16.9549,81.7815,8:50,33.03,178,8.74,0.2,,,,20,1,14,2,5.4,3.2,0.01,0.2,31.196,6.8,1.65,11.2,2.4,1,0.5
GDVR_RJMN_20170427_st_03,RJMN,17.0056,81.7661,9:45,33.2,164,8.84,0.1,,,,22,1,16,2.1,5.6,2.8,0.01,0.2,28.36,6.87,1.63,11.2,3.2,0.5,0.5
GDVR_RJMN_20170427_st_04,RJMN,17.0291,81.7678,10:15,32.87,140,8.76,0.1,,,,22,1,14,1.8,5.7,2.3,0.01,0.2,28.36,7.99,1.78,12,2.8,0.5,1
GDVR_RJMN_20170505_st_01,RJMN,17.02954,81.7669,8:10,32,216,8.72,0.1,,,,21,1,20,2.5,5.1,2.2,0.01,0.2,39.704,7.08,1.67,10.4,3.2,0.5,1
GDVR_RJMN_20170505_st_02,RJMN,17.0537,81.741,8:45,31.46,178,8.74,0.2,,,,26,1,16,2,5.3,3.2,0.01,0.2,26.942,8.19,1.77,11.2,4.8,0.5,0.5
GDVR_RJMN_20170505_st_03,RJMN,17.0053,81.7662,9:40,32.55,164,8.84,0.1,,,,23,1,12,1,5,2.8,0.01,0.2,26.942,7.34,1.74,15.2,1.6,0.5,0.5
GDVR_RJMN_20170505_st_04,RJMN,16.9543,81.7804,10:30,32.66,140,8.76,0.1,,,,31,1,21,2,5.2,2.3,0.01,0.2,38.286,11.75,2.32,12,6.4,0.5,0.5
GDVR_RJMN_20170511_st_01,RJMN,16.953,81.778,17:20,33.01,185.5,8.65,0.1,,,,34,1,1.9,18,5.2,2,0.01,0.2,,,,26.4,0.4,1,1
GDVR_RJMN_20170511_st_02,RJMN,16.9831,81.7667,18:20,32,129.9,8.55,0.1,,,,9,1,2,15,5.4,2.2,0.01,0.2,,,,3.2,2,1,0.5
GDVR_RJMN_20170512_st_03,RJMN,17.0289,81.7668,7:15,31.6,182.8,9.14,0.1,,,,25,1,1.5,15,5.5,2,0.01,0.2,,,,11.2,4.4,0.5,1
GDVR_RJMN_20170512_st_04,RJMN,17.0179,81.739,8:00,31.36,66.6,8.44,0.1,,,,69,1,1.8,18,5.3,1.8,0.01,0.2,,,,13.6,20.8,1,1
GDVR_RJMN_20170518_st_01,RJMN,17.0253,81.7672,15:59,34,234,8.85,0.8,,,,33,1,23,2,5.5,2.3,0.01,0.2,34.032,15.9,4.95,16,5.2,1,1
GDVR_RJMN_20170518_st_02,RJMN,17.0213,81.7409,17:00,34.09,135,8.93,0.4,,,,19,1,18,1.8,5.7,2.1,0.01,0.2,22.688,5.66,1.54,12,1.6,1,1
GDVR_RJMN_20170518_st_03,RJMN,16.9963,81.7571,17:24,33.8,121.7,8.67,0.3,,,,31,1,17,1.6,5.4,1.8,0.01,0.2,25.524,6.35,1.59,18.4,3.2,1,0.5
GDVR_RJMN_20170518_st_04,RJMN,16.9547,81.781,18:08,34.42,126.3,8.64,0.2,,,,25,1,20,1.9,5.8,2,0.01,0.2,25.524,6.49,1.58,13.6,3.2,0.5,0.5
GDVR_RJMN_20170525_st_01,RJMN,17.0286,81.7673,7:22,33.22,290,9.01,0.3,,,,39,1,2.7,25,5.8,2.4,0.01,0.2,39.704,12.74,3.61,24.8,3.2,5,2
GDVR_RJMN_20170525_st_02,RJMN,17.01425,81.741,8:10,33.28,142,8.78,0.3,,,,34,1,2,22,5.9,2.2,0.01,0.2,25.524,7.69,1.59,8.8,9.2,7,1
GDVR_RJMN_20170525_st_03,RJMN,16.9517,81.7515,9:00,33.2,128.5,8.69,0.2,,,,33,1,1.9,21,5.6,2,0.01,0.2,32.614,7.37,1.6,20,3.2,21,3
GDVR_RJMN_20170525_st_04,RJMN,16.9549,81.7818,9:35,33.35,128.5,8.5,0.2,,,,34,1,2.1,23,5.5,2.4,0.01,0.2,25.524,6.15,1.64,11.2,8,5,1
GDVR_NRSP_20170529_st01,NRSP,16.4463,81.7073,11:55,33,32540,7.3,,,,,1750,18,60,30,5.5,5.2,0.01,0.2,496,5344,210,920,240,0.5,0.5
GDVR_NRSP_20170529_st02,NRSP,16.4414,81.7234,12:20,32.81,40540,8.01,,,,,2100,21,63,32,5.8,6,0.01,0.2,1773,8435,315,600,540,5,2
GDVR_NRSP_20170529_st03,NRSP,16.4255,81.7021,12:50,32.84,41410,8.08,,,,,2400,20,61,34,5.2,5.2,0.01,0.2,1843,9358,360,1160,380,0.5,0.5
GDVR_RJMN_20170531_st_01,RJMN,17.01034,81.76029,,32.78,290,9.49,0.5,,,,38,1,29,2.7,5.5,2.5,0.01,0.2,41.122,11.26,2.47,16.8,6.8,6,1
GDVR_RJMN_20170531_st_02,RJMN,16.95564,81.78165,,34.05,248,9.17,0.4,,,,38,1,26,2,5.7,2.2,0.01,0.2,26.942,6.02,1.6,13.6,8.4,6,1
GDVR_RJMN_20170531_st_03,RJMN,16.98873,81.77469,,33.86,280,9.03,0.5,,,,33,1,28,2.5,5.8,2.3,0.01,0.2,34.032,10.93,2.32,19.2,3.6,5,1
GDVR_RJMN_20170615_st_01,RJMN,17.02816,81.76722,7:15,30.01,156,8.03,0.4,,,,20,3,15,2.3,4.9,2.5,0.01,0.2,50,5.7,1.92,8,4,5,0.5
GDVR_RJMN_20170615_st_02,RJMN,17.02011,81.73973,8:51,30.01,123.2,7.83,0.3,,,,21,3,12,2,4.7,2.2,0.01,0.2,75,22.49,5.53,4.8,6,6,1
GDVR_RJMN_20170615_st_03,RJMN,16.9963,81.75504,9:15,30.18,110.1,7.91,0.5,,,,17,4,14,2.1,4.5,2,0.01,0.2,65,3.29,1.06,4.8,4.4,8,1
GDVR_RJMN_20170615_st_04,RJMN,16.9545,81.78149,10:00,30.12,140.1,7.69,0.4,,,,21,5,13,1.9,4.6,2.2,0.01,0.2,70,4.46,1.84,4.8,6,6,0.5
GDVR_NRSP_20170620_st01,NRSP,16.4462,81.70743,11:40,30.47,6390,7.06,,,,,400,8,29,20,5.3,2.9,0.01,0.2,2250,959,169,360,,12,1
GDVR_NRSP_20170620_st02,NRSP,16.443172,81.72320833,12:15,30.9,10650,7.14,,,,,600,10,22,18,5.1,2.6,0.01,0.2,5500,1208,95,320,80,8,1
GDVR_NRSP_20170620_st03,NRSP,16.42676,81.7016,12:50,30.54,3890,7.86,,,,,1650,9,24,19,5,2.6,0.01,0.2,13750,4114,391,200,560,10,1
GDVR_NRSP_20170620_st04,NRSP,16.42271,81.69989,13:15,30.43,3910,7.81,,,,,1750,10,21,17,4.8,2,0.01,0.2,15000,4285,285,640,380,12,1
GDVR_RJMN_20170624_st_01,RJMN,17.02385,81.76725,8:39,29.88,231,8.3,1.3,,,,27,4,55,35,5,2.8,0.01,0.2,55,9.1,2.92,15.2,3.2,7,1
GDVR_RJMN_20170624_st_02,RJMN,17.01833,81.74005,9:45,30.35,187,8.02,11.5,,,,20,5,30,29,4.9,2.9,0.01,0.2,55,7.59,2.77,12,2,8,2
GDVR_RJMN_20170624_st_03,RJMN,16.99495,81.75727,10:06,30.51,178,8.04,5,,,,31,6,35,28,4.8,2.5,0.01,0.2,45,7.57,2.63,9.6,7.6,6,1
GDVR_RJMN_20170624_st_04,RJMN,16.95399,81.78091,10:45,30.58,174,8,3.1,,,,26,6,28,20,4.6,2.4,0.01,0.2,50,7.44,2.53,8,6.4,7,2
GDVR_NRSP_20170627_st_01,NRSP,16.44565,81.70965,6:45,28.08,7300,6.94,,,,,250,8,20,29,4.9,2.4,0.01,0.2,400,629,46,360,,12,6
GDVR_NRSP_20170627_st_02,NRSP,16.445,81.72476,7:10,28.64,5730,6.97,,,,,250,10,25,32,4.7,2.9,0.01,0.2,500,805,44,560,,19,8
GDVR_NRSP_20170627_st_03,NRSP,16.42618,81.70153,8:20,29.46,390,7.61,,,,,1550,6,20,26,4.6,2.3,0.01,0.2,2950,4380,237,1080,80,10,4
GDVR_NRSP_20170627_st_04,NRSP,16.42618,81.70153,14:00,29.36,2460,8.15,,,,,2800,4,18,20,4.5,2,0.01,0.2,4000,7274,311,1360,440,8,2
Yamu_NDEL_20170711_st_01,DELH,28.68752,77.23008,11.02,32.74,1432,6.93,11.3,,,,104,30,310,130,2.3,25,0.03,0.2,60,107.4,15,2520,820,25,20
Yamu_NDEL_20170711_st_02,DELH,28.69526,77.22927,10.58,32.65,1517,7.04,15.6,,,,124,20,300,110,1.9,24,0.02,0.2,62,117.9,18.3,2600,1180,20,18
Yamu_NDEL_20170711_st_03,DELH,28.70529,77.23266,10.51,32.74,1688,7.01,24.5,,,,133,45,360,200,2.26,28,0.04,0.2,66,76.5,10.7,2760,1280,40,45
Yamu_NDEL_20170711_st_04,DELH,28.66553,77.23829,10.01,32.73,1308,6.95,10.2,,,,113,20,315,180,2.02,25,0.03,0.2,64,85.6,12.4,2520,1000,40,38
GDVR_NRSP_20170726_st01,NRSP,16.44663,81.70583,8:10,,171.1,7.96,,,,,44.2,28.9,40,8.2,,4.6,0.01,0.2,600,1074,150,205,50,6,1
GDVR_NRSP_20170726_st02,NRSP,16.44469,81.72416,8:35,,166.8,7.99,,,,,46.4,30.8,28,9.1,,4.2,0.01,0.2,620,1173,183,231,76,7,2
GDVR_NRSP_20170726_st03,NRSP,16.43598,81.70767,9:15,,167.7,7.57,,,,,48.9,28.05,22,7.3,,4,0.01,0.2,660,765,107,228,75,8,1
GDVR_NRSP_20170726_st04,NRSP,16.42498,81.70099,10:20,,166.8,7.68,,,,,59.9,30.5,25,8.3,,4.4,0.01,0.2,640,856,135,235,45,6,1
GDVR_NRSP_20170802_st_01,NRSP,16.44658,81.70622,7:10,31.89,909,7.01,,,,,,20,30,13,3.4,15,0.01,0.2,96,1580,221,,,9,2
GDVR_NRSP_20170802_st_02,NRSP,16.44459,81.72399,7:45,32.03,2290,6.9,,,,,,50,40,18,3.5,20,0.01,0.2,151,2010,354,,,8,2
GDVR_NRSP_20170802_st_03,NRSP,16.43083,81.70487,8:20,32.5,7150,6.94,,,,,,30,60,23,4.3,32,0.01,0.2,720,2560,311,,,6,1
GDVR_NRSP_20170802_st_04,NRSP,16.4256,81.7012,8:45,31.49,5570,7.19,,,,,,17,54,20,3.8,25,0.01,0.2,400,1830,275,,,7,2
Yamu_NDEL_20170902_st_01,DELH,28.70466667,77.23227778,9.3,29.44,170.1,7.96,99,,,,150,30,29,7.3,,3.2,0.01,0.2,300,11.85,0.82,7.2,57.6,7,1
Yamu_NDEL_20170902_st_02,DELH,28.69244444,77.22969444,9.51,29.32,173.7,7.96,140,,,,160,56,52,6.9,,3.8,0.01,0.2,350,9.16,0.8,8,64,8,1
Yamu_NDEL_20170902_st_03,DELH,28.66607,77.23708,10.13,29.34,169,7.66,133,,,,170,23,46,5.9,,3.6,0.01,0.3,350,8.9,0.75,6.4,51.2,18,6
Yamu_NDEL_20170902_st_04,DELH,28.66158,77.24914,10.36,29.35,168.3,7.76,78,,,,190,28,42,6.5,,4.3,0.01,0.1,300,5.18,0.44,7.2,57.6,16,3
GDVR_RJMN_20170916_st_01,RJMN,17.00472,81.76658,,31.76,162,7.68,96.5,,,,70,26,33,7.1,7.05,4.1,0.01,0.6,100,8.54,1.81,1.6,12.8,6,2
GDVR_RJMN_20170916_st_02,RJMN,17.02892,81.76748,,31.84,165,7.91,93,,,,60,23,32,5.1,7.6,4.9,0.01,0.6,200,12.12,2.03,2.4,19.2,11,1
GDVR_RJMN_20170916_st_03,RJMN,17.02735,81.75571,,31.92,169,7.83,65,,,,90,18,36,6.2,7.9,3.8,0.01,0.2,100,8.08,1.8,2.4,19.2,3,2
GDVR_RJMN_20170916_st_04,RJMN,16.9548,81.7819,,32.27,171.1,7.36,63,,,,70,21,32,7.2,8.56,4.1,0.01,0.1,150,10.13,1.94,1.6,12.8,5,1
GDVR_NRSP_20170920_st_01,NRSP,16.44659,81.70633,7:10,29.41,172,7.68,96.5,,,,170,26,33,7.1,3.58,4.1,0.01,0.6,1100,99.13,12.82,4.8,38.4,7,2
GDVR_NRSP_20170920_st_02,NRSP,16.445,81.72459,8:00,29.9,165,7.91,91,,,,370,23,32,5.1,7.57,4.9,0.01,0.6,3700,49.52,39.75,4.8,38.4,14,4
GDVR_NRSP_20170920_st_03,NRSP,16.43482,81.70632,9:00,29.76,169,7.83,67,,,,300,18,36,6.2,8.82,3.8,0.01,0.2,3400,100.93,25.89,7.2,57.6,8,2
GDVR_NRSP_20170920_st_04,NRSP,16.4248,81.70063,9:20,29.86,171.1,7.36,63,,,,410,21,32,7.2,8.5,4.1,0.01,0.1,2350,51.07,41.41,7.2,57.6,5,1
GDVR_RJMN_20170921_st_01,RJMN,17.00458,81.76654,9:20,29.93,170.1,7.96,96.5,,,,80,28.9,40,8.2,6.31,4.5,0.01,0.2,150,14.03,2.46,4,32,6,1
GDVR_RJMN_20170921_st_02,RJMN,17.03017,81.767136,10:00,30.09,173.7,7.96,130,,,,110,33,42,6.3,7.1,4.8,0.01,0.1,300,198,29,12,96,9,1
GDVR_RJMN_20170921_st_03,RJMN,16.99662,81.76491,11:10,30.23,169,7.66,126,,,,50,37,46,5.8,7.01,3.8,0.01,0.3,150,8.31,2.25,2.4,19.2,18,6
GDVR_RJMN_20170921_st_04,RJMN,16.95483,81.78186,11:50,30.07,168.3,7.76,89,,,,70,22,39,6.8,5.63,4,0.01,0.7,100,19.26,4.27,4,32,11,1
GDVR_NRSP_20170927_st_01,NRSP,16.44615,81.70764,8:20,28.68,169,7.03,83,,,,,15,23,5,0.36,4.8,0.01,0.09,,,,,,3,
GDVR_NRSP_20170927_st_02,NRSP,16.44498,81.72476,9:10,30.68,168.3,7.63,92,,,,,12,29,6.2,5.17,3.6,0.01,0.3,,,,,,6,1
GDVR_NRSP_20170927_st_03,NRSP,16.43444,81.70715,10:05,30.89,172,7.1,76,,,,,9,18,6.8,7.49,3.9,0.01,0.1,,,,,,5,1
GDVR_NRSP_20170927_st_04,NRSP,16.42472,81.70081,10:30,30.61,165,7.96,95,,,,,5,12,4.9,6.55,4.5,0.01,0.2,,,,,,2,1
GDVR_NRSP_20171014_st_01,NRSP,16.44666,81.70597,7:45,31.58,805,6.88,5.1,68.7,1797.2,91.4,80,28.8,7.8,38,3.54,3.8,0.01,0.01,150,13.2,5.82,2.4,19.2,9,6
GDVR_NRSP_20171014_st_02,NRSP,16.44394,81.73279,8:10,32.73,1883,7.2,60.1,151.7,1786.4,90.7,220,30.2,8.6,26,6.43,4.6,0.01,0.2,750,22.29,1.03,7.2,57.6,14,8
GDVR_NRSP_20171014_st_03,NRSP,16.43481,81.70715,9:20,32.06,1276,7.58,31.7,23.5,598.4,46.5,110,28.68,7.8,24,6.31,3.6,0.01,0,550,16.25,0.96,6.4,51.2,16,6
GDVR_NRSP_20171014_st_04,NRSP,16.42448,81.70098,9:45,31.96,5960,7.6,22.3,23.9,732.8,55.6,280,30.2,8.3,25,6.09,4.2,0.01,0.2,2300,95.03,3.27,11.2,89.6,13,7
GDVR_NRSP_20171018_st_01,NRSP,16.44674,81.70569,8:45,30.65,3280,7.07,16.9,290.8,792.8,34.7,210,28.4,7.4,36,3.18,3.6,0.01,0.2,1350,51.8,2.09,9.6,76.8,7,8
GDVR_NRSP_20171018_st_02,NRSP,16.44408,81.73285,9:15,30.99,6490,7.48,8.8,305.7,828.8,27.8,330,30.4,8.4,25,6,4.8,0.01,0.2,2750,94.31,3.64,8,64,13,7
GDVR_NRSP_20171018_st_03,NRSP,16.43413,81.70691,10:25,31.08,5950,7.6,9.2,282.3,815.2,31.3,300,28.72,7.2,23,6,3.8,0.01,0.2,2650,110.85,3.65,6.4,51.2,15,9
GDVR_NRSP_20171018_st_04,NRSP,16.4248,81.70067,10:40,31.25,1077,7.6,12.9,260.3,783.6,36.1,470,30.5,8.2,26,5.82,4.6,0.01,0.2,4550,178.6,59,8.8,70.4,12,8
DRIN_NRSP_20171026_St_01,NRSP,16.26754,81.42449,,,856,6.94,,,,,,28,225.4,96,0.1,5.189,,16.7,,,,,,,150
DRIN_NRSP_20171026_St_02,NRSP,16.26567,81.42597,,,1312,7.13,,946.6,6031.4,380.2,,32,254.8,107,0.1,18.692,,6.6,,,,,,,1600
DRIN_NRSP_20171026_St_03,NRSP,16.25605,81.42049,,,1659,7.23,,704.8,2548.9,187.3,,36,235.2,92,0.1,14.232,,32.1,,,,,,,210
DRIN_NRSP_20171026_St_04,NRSP,16.25483,81.41999,,,7780,7.25,,886.4,2064.9,74,,14,127,16,8.6,3.493,,0.1,,,,,,,58
DRIN_NRSP_20171026_St_05,NRSP,16.25937,81.41166,,,1846,7.16,,812.5,2047.2,71.7,,26,284,112,0.1,20.663,,53.8,,,,,,,540
DRIN_NRSP_20171026_St_06,NRSP,16.26381,81.41834,,,709,7.28,,,,,,40,196,74,0.1,18.763,,30.4,,,,,,,210
DRIN_NRSP_20171026_St_07,NRSP,16.26322,81.41563,,,677,7.41,,,,,,4,58.8,6,2.2,5.049,,0.1,,,,,,,210
DRIN_NRSP_20171026_St_08,NRSP,16.26152,81.4067,,,1946,6.98,,,,,,26,264.4,84,0.1,4.802,,8.8,,,,,,,58
DRIN_NRSP_20171026_St_09,NRSP,16.26878,81.42204,,,931,7.37,,576.1,2212,113.8,,8,68.6,14,1.7,3.916,,0.6,,,,,,,43
GDVR_RJMN_20171102_St_01,RJMN,17.0045,81.76649,11:40,29.55,226,7.84,2.9,630.4,537.5,44.2,80,28.7,34,7.4,8.34,3.3,0.01,0.2,51.6,6.42,2.43,4.8,1.6,8,7
GDVR_RJMN_20171102_St_02,RJMN,17.02866,81.76799,12:15,29.36,1374,7.26,23.1,1039.2,1779.2,148.8,160,15.2,28,8.5,5.62,4.8,0.01,0.2,103.2,11.26,6.14,8,4,13,9
GDVR_RJMN_20171102_St_03,RJMN,16.99637,81.76639,13:00,29.9,1163,7.31,3.3,2038,188,20.2,104,15.8,23,7.7,7.1,3.8,0.01,0.2,51.6,5.89,1.9,4.8,2.8,17,9
GDVR_RJMN_20171102_St_04,RJMN,16.95462,81.78179,13:30,30.04,4230,7.71,2.3,706.8,557.7,50.7,80,30.4,26,8.5,7.4,4.6,0.01,0.2,34.4,6.28,2.37,3.2,2.4,14,8
GDVR_NRSP_20171103_St_01,NRSP,16.4469,81.70567,7:30,28.51,3080,7.86,2.6,352.4,775.6,46.2,576,18,22,6.7,4.28,3.3,0.01,0.2,2081.2,19.34,1.32,11.2,23.2,11,9
GDVR_NRSP_20171103_St_02,NRSP,16.4447,81.72406,8:05,28.98,3060,7.78,4.1,319.4,400.3,28.7,1240,18.1,23,7.8,6,4.8,0.01,0.2,4816,23.56,1.65,19.2,52.4,16,7
GDVR_NRSP_20171103_St_03,NRSP,16.43436,81.7066,9:00,28.61,2990,7.42,1.9,241,203.4,28.1,1328,12.3,24,7.6,6.05,3.8,0.01,0.2,4730,44.89,2.41,16.8,58,15,2
GDVR_NRSP_20171103_St_04,NRSP,16.42455,81.70044,9:32,28.64,3110,6.23,2.8,130,500.8,32,1744,28.6,21,8.1,6.07,4.6,0.01,0.2,5590,28.89,1.92,17.6,78.4,12,7
GDVR_RJMN_20171108_St_01,RJMN,17.00455,81.76652,8:30,28.31,228,7.85,23.5,851.6,546.5,39.5,136,28.6,33,7.6,7.82,3.1,0.01,0.2,34.4,7.59,2.27,11.2,1.2,7,9
GDVR_RJMN_20171108_St_02,RJMN,17.02872,81.76791,8:50,29.81,1370,7.39,17.1,1082,2328.8,77.4,184,15.1,26,8.3,5.7,4.6,0.01,0.2,120.4,17.69,11.46,9.6,4.4,12,8
GDVR_RJMN_20171108_St_03,RJMN,16.99639,81.76695,9:30,28.47,214,7.98,2.5,747.6,536,37.2,80,15.6,22,7.6,7.2,3.3,0.01,0.2,34.4,6.84,2.1,6.4,0.8,16,7
GDVR_RJMN_20171108_St_04,RJMN,16.95472,81.78181,10:10,28.15,225,7.4,1.8,605.4,615.2,49.2,80,30.2,28,8.4,5.88,4.5,0.01,0.2,34.4,6.54,2.31,6.4,0.8,12,6
GDVR_NRSP_20171110_st_01,NRSP,16.44669,81.70572,7:20,27.72,765,7.43,10.6,834.4,632.4,40.3,80,28.4,32,7.3,3.71,3.1,0.01,0.2,172,94.72,6.52,6.4,0.8,7,9
GDVR_NRSP_20171110_st_02,NRSP,16.44403,81.7331,8:20,27.38,6360,7.39,8.1,900,584.8,46.7,400,15.6,22,8.6,3.85,4.2,0.01,0.2,1032,5,0.9,12,14,11,7
GDVR_NRSP_20171110_st_03,NRSP,16.4345,81.71728,9:00,28.16,1064,8.1,2.2,334,633.6,40,480,15.2,22,7.6,6.82,3.6,0.01,0.2,3887.2,18.24,1,21.6,13.2,16,8
